date,team,rank,gpf,ogpf,dgpf,gou
2026-07-17,MIN,1,5.797392082920515,3.794804493458094,2.0025875894624217,173.78744225432206
2026-07-17,ATL,2,4.955828246410259,3.6982166142349104,1.257611632175348,174.43583033238596
2026-07-17,LVA,3,4.728293682297208,3.508881594119496,1.2194120881777115,174.28469485626815
2026-07-17,GSV,4,4.540791921902782,-4.695392200232563,9.236184122135343,158.0636490279585
2026-07-17,DAL,5,4.092447388780984,3.7461513931135766,0.3462959956674072,175.39508074777254
2026-07-17,NYL,6,3.8793395312553263,2.2564677790903973,1.622871752164929,172.62882137725185
2026-07-17,IND,7,3.7645422205580736,5.776693298677002,-2.0121510781189285,179.78406972712233
2026-07-17,WAS,8,-2.401359394553722,-6.245670162041692,3.8443107674879697,161.90524442079672
2026-07-17,PHO,9,-2.7581741614487987,-2.9262208287784413,0.1680466673296428,168.90095785421832
2026-07-17,LAS,10,-2.8363025593778723,2.4214881517851103,-5.257790711162983,179.67450421327447
2026-07-17,CHI,11,-3.1123061919068817,-0.0732167946169278,-3.039089397289954,174.9610979529994
2026-07-17,SEA,12,-4.666680246974989,-4.071766567191036,-0.5949136797839532,168.5183724629193
2026-07-17,TOR,13,-4.999040699990722,0.7384621270932326,-5.737502827083955,178.47119030450358
2026-07-17,CON,14,-5.223871336163565,-5.425684989076813,0.2018136529132477,166.3677267083363
2026-07-17,PDX,15,-5.760900483708603,-2.5032139096354364,-3.257686574073168,172.74969801476414
2026-07-18,MIN,1,5.96266785307377,4.055393444594112,1.9072744084796576,174.27269945414594
2026-07-18,ATL,2,5.636013186545362,4.188472612700448,1.4475405738449147,174.86551245688702
2026-07-18,GSV,3,4.7374812346972535,-4.653350704812177,9.39083193950943,158.08039777370988
2026-07-18,NYL,4,4.712985922701555,1.9808407975064373,2.732145125195117,171.3732760903428
2026-07-18,LVA,5,4.394615380037877,3.392589739708157,1.00202564032972,174.51514451740994
2026-07-18,DAL,6,4.207458452267614,3.7938173670093978,0.4136410852582167,175.5047566997827
2026-07-18,IND,7,2.8264715168604475,5.106536136348805,-2.280064619488358,179.51118117386866
2026-07-18,WAS,8,-2.364470378010584,-6.297098211608069,3.932627833597485,161.89485437282593
2026-07-18,CHI,9,-2.6477792800543574,0.1819934103210545,-2.829772690375412,175.13634651872795
2026-07-18,LAS,10,-3.255915171135433,1.8134211040331727,-5.069336275168606,179.00733779723328
2026-07-18,PHO,11,-3.2768086275111186,-2.990369171265272,-0.2864394562458471,169.42065070301206
2026-07-18,SEA,12,-4.684358724880056,-3.2576401331746845,-1.4267185917053713,170.29365887656218
2026-07-18,CON,13,-4.848981247559316,-5.21353311706144,0.3645518695021239,166.54649543146792
2026-07-18,TOR,14,-5.6564709504958905,0.4033843128046492,-6.059855263300539,178.58781999413668
2026-07-18,PDX,15,-5.742909166537141,-2.5044575871055508,-3.2384515794315902,172.85857441035753
2026-07-19,ATL,1,6.080028148547439,4.459169666090337,1.6208584824571022,175.53214409462208
2026-07-19,MIN,2,5.873782925193013,3.6917698718628538,2.1820130533301594,174.20358972952152
2026-07-19,GSV,3,4.655717355451386,-4.842038689632113,9.4977560450835,158.35403817627324
2026-07-19,LVA,4,4.291975441455788,2.664094084491992,1.627881356963797,173.73004563851703
2026-07-19,NYL,5,4.20945220790235,3.014134729976478,1.195317477925872,174.51265016303947
2026-07-19,DAL,6,4.076552084253828,3.5399220625424337,0.536630021711395,175.6971249518199
2026-07-19,IND,7,3.4592845050494225,6.608309550457807,-3.149025045408384,182.45116750685503
2026-07-19,WAS,8,-2.336301972441212,-6.515813874893524,4.179511902452312,161.99850713364302
2026-07-19,CHI,9,-2.9993389940477013,0.0688963619854099,-3.068235356033111,175.83096462900738
2026-07-19,PHO,10,-3.1043890397598446,-2.8605531155832424,-0.2438359241766019,170.07711571958222
2026-07-19,LAS,11,-3.5443996806819547,1.439807649452571,-4.9842073301345255,179.11784789057594
2026-07-19,SEA,12,-4.894834503252139,-3.938742781435778,-0.9560917218163608,169.71118185136945
2026-07-19,PDX,13,-5.101753500536656,-2.2578695762358123,-2.843883924300844,173.2798472590539
2026-07-19,CON,14,-5.16112803478433,-5.222233660265346,0.0611056254810161,167.41049362524248
2026-07-19,TOR,15,-5.504646942349399,0.1511477211849719,-5.655794663534371,178.5007752957082
2026-07-20,MIN,1,6.207267887618198,4.2874948373338295,1.9197730502843688,175.13572371214673
2026-07-20,ATL,2,6.099477698636802,4.448606068268266,1.6508716303685351,175.565736362997
2026-07-20,NYL,3,5.156001486173649,2.9338689003288856,2.2221325858447627,173.47973823958137
2026-07-20,LVA,4,5.073971400173644,3.666207895281071,1.4077635048925723,175.02644631548574
2026-07-20,GSV,5,4.791626589629639,-4.902166802949638,9.693793392579275,158.17204172956835
2026-07-20,IND,6,4.292034817889535,7.072518330760125,-2.7804835128705903,182.621003768728
2026-07-20,DAL,7,2.356332075720627,2.153043004424023,0.2032890712966042,174.71775585822468
2026-07-20,WAS,8,-2.405753197406873,-6.6961060667810814,4.290352869374209,161.78154298894196
2026-07-20,PHO,9,-2.715059863507927,-3.113811948788912,0.3987520852809849,169.25543789102736
2026-07-20,CHI,10,-3.2991461035726704,0.0340710114953067,-3.333217115067977,176.13529005166055
